datetime,landfill_site,ch4_emission_kg_hr,latitude,longitude,wind_speed,wind_direction,instrument,ipcc_sector,gas
2022-09-01 03:46:52,Ghazipur,3843.48,28.621581,77.326762,1.8,288.81,emi,Solid Waste (6A),CH4
2022-09-01 03:46:52,Bhalswa,2855.29,28.74189,77.155593,1.76,280.26,emi,Solid Waste (6A),CH4
2022-11-29 06:17:07,Okhla,3829.39,28.510962,77.28326,1.39,341.85,hsi,Solid Waste (6A),CH4
2022-11-29 06:17:07,Ghazipur,2540.02,28.622569,77.325858,1.35,334.41,hsi,Solid Waste (6A),CH4
2023-03-09 06:09:08,Bhalswa,2382.86,28.742197,77.156804,2.23,343.31,hsi,Solid Waste (6A),CH4
2023-04-24 06:02:59,Ghazipur,5327.65,28.624238,77.327543,3.61,136.53,hsi,Solid Waste (6A),CH4
2023-04-24 06:02:59,Okhla,2834.83,28.511309,77.283076,3.74,133.48,hsi,Solid Waste (6A),CH4
2023-04-24 06:02:59,Bhalswa,1841.86,28.741848,77.156009,2.92,145.75,hsi,Solid Waste (6A),CH4
2023-05-17 05:58:24,Okhla,2113.98,28.511427,77.283258,3.83,301.27,hsi,Solid Waste (6A),CH4
2023-05-17 05:58:24,Ghazipur,2552.06,28.623013,77.327083,4.15,297.81,hsi,Solid Waste (6A),CH4
2023-10-26 05:31:30,Bhalswa,1362.63,28.742002,77.157472,3.01,316.84,emi,Solid Waste (6A),CH4
2023-10-26 05:31:30,Okhla,2334.78,28.508184,77.286304,3.04,317.41,emi,Solid Waste (6A),CH4
2023-10-26 05:31:30,Ghazipur,3169.9,28.623844,77.329299,2.97,316.16,emi,Solid Waste (6A),CH4
2023-10-30 03:55:45,Ghazipur,7721.84,28.624533,77.327315,1.39,126.55,emi,Solid Waste (6A),CH4
2023-12-19 05:59:07,Ghazipur,3317.88,28.624561,77.328353,4.02,296.39,hsi,Solid Waste (6A),CH4
2023-12-19 05:59:07,Okhla,1727.38,28.510264,77.284774,4.02,297.37,hsi,Solid Waste (6A),CH4
2023-12-19 05:59:11,Bandhwari,3388.03,28.40237,77.171331,3.94,296.58,hsi,Solid Waste (6A),CH4
2023-12-26 05:22:36,Okhla,2277.83,28.509321,77.285665,1.21,298.08,emi,Solid Waste (6A),CH4
2023-12-26 05:22:36,Bhalswa,2873.2,28.740973,77.156787,1.24,290.63,emi,Solid Waste (6A),CH4
2023-12-26 05:22:36,Ghazipur,4205.33,28.624428,77.329263,1.2,295.18,emi,Solid Waste (6A),CH4
2023-12-27 06:06:36,Ghazipur,2227.04,28.62499,77.327757,0.47,354.4,hsi,Solid Waste (6A),CH4
2023-12-27 06:06:36,Bhalswa,1973.99,28.741789,77.156206,0.62,352.0,hsi,Solid Waste (6A),CH4
2023-12-27 06:06:36,Okhla,902.84,28.51123,77.284497,0.54,353.88,hsi,Solid Waste (6A),CH4
