station_id,state,city,station_name,timestamp,pm2_5,pm10,no,no2,nox,nh3,so2,co,ozone,benzene,toluene,temp,humidity,wind_speed,wind_direction,rainfall,solar_radiation,barometric_pressure
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 00:00:00+00:00,158.0,265.0,28.4,45.9,47.3,18.8,4.2,1.57,20.3,2.1,4.8,11.5,80.0,0.3,44.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 00:15:00+00:00,158.0,265.0,22.9,38.5,39.1,17.6,4.0,1.63,20.2,2.2,5.4,11.5,81.0,0.3,43.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 00:30:00+00:00,158.0,265.0,24.4,45.2,43.9,24.6,4.0,1.58,20.3,2.2,6.3,11.5,80.0,0.3,50.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 00:45:00+00:00,169.0,254.0,24.8,49.6,46.6,17.4,3.1,1.59,19.9,2.2,7.4,11.5,80.0,0.3,78.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 01:00:00+00:00,169.0,254.0,33.4,49.5,53.5,18.5,4.0,1.55,19.6,2.2,7.5,11.5,80.0,0.3,77.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 01:15:00+00:00,169.0,254.0,18.8,46.4,40.0,19.5,5.3,1.53,19.5,2.2,7.4,11.4,80.0,0.3,2.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 01:30:00+00:00,169.0,254.0,17.4,50.6,41.1,18.6,3.5,1.49,19.0,2.0,7.5,11.4,80.0,0.3,68.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 01:45:00+00:00,175.0,254.0,18.8,50.6,42.2,16.5,2.9,1.48,18.8,2.1,6.6,11.4,80.0,0.3,78.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 02:00:00+00:00,175.0,254.0,24.4,50.1,46.4,18.7,3.1,1.48,18.1,2.1,6.0,11.4,80.0,0.3,62.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 02:15:00+00:00,175.0,254.0,2.2,48.1,27.4,25.7,4.1,1.59,17.7,2.0,5.8,11.3,80.0,0.3,25.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 02:30:00+00:00,175.0,254.0,12.7,43.1,33.3,27.2,1.9,1.69,17.8,2.0,6.0,11.3,80.0,0.3,49.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 02:45:00+00:00,165.0,211.0,15.4,39.5,33.5,28.0,1.6,1.63,17.3,2.1,5.5,11.4,80.0,0.3,51.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 03:00:00+00:00,165.0,211.0,17.8,41.1,36.4,24.6,0.3,1.61,16.6,2.1,6.0,11.4,80.0,0.3,50.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 03:15:00+00:00,165.0,211.0,27.9,43.4,45.7,19.5,0.7,1.52,15.6,2.1,6.1,11.4,80.0,0.3,20.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 03:30:00+00:00,165.0,211.0,8.4,36.1,26.0,22.8,1.6,1.45,15.0,2.0,5.8,11.4,80.0,0.3,21.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 03:45:00+00:00,185.0,238.0,7.6,39.6,27.2,19.8,1.4,1.43,15.0,2.2,5.3,11.4,80.0,0.3,22.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 04:00:00+00:00,185.0,238.0,3.8,36.8,22.6,20.8,0.7,1.37,15.4,2.1,4.7,11.3,80.0,0.3,52.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 04:15:00+00:00,185.0,238.0,6.1,36.2,24.2,20.8,0.9,1.47,15.4,2.3,4.5,11.3,80.0,0.3,39.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 04:30:00+00:00,185.0,238.0,13.0,30.2,26.6,20.6,1.1,1.58,15.5,2.3,4.3,11.3,80.0,0.3,82.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 04:45:00+00:00,177.0,252.0,28.2,53.4,51.3,16.9,1.3,1.5,15.6,2.3,4.1,11.3,80.0,0.3,106.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 05:00:00+00:00,177.0,252.0,53.5,57.1,74.1,14.9,0.9,1.52,15.3,2.3,4.4,11.2,80.0,0.3,36.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 05:15:00+00:00,177.0,252.0,33.2,48.0,52.7,18.9,0.5,1.55,14.7,2.2,4.9,11.2,80.0,0.3,20.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 05:30:00+00:00,177.0,252.0,72.2,49.3,85.0,14.5,0.78,1.64,15.0,2.3,5.1,11.3,80.0,0.3,69.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 05:45:00+00:00,162.0,263.0,62.6,51.8,78.6,17.4,1.06,1.53,14.9,2.3,5.1,11.2,80.0,0.4,12.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 06:00:00+00:00,162.0,263.0,41.1,39.8,54.5,11.8,1.3399999999999999,1.5,15.3,2.2,4.8,11.2,80.0,0.3,79.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 06:15:00+00:00,162.0,263.0,45.5,29.6,52.7,14.7,1.6199999999999999,1.33,15.7,2.1,5.1,11.1,80.0,0.6,131.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 06:30:00+00:00,162.0,263.0,77.4,39.9,84.2,15.5,1.9,1.44,15.3,2.0,4.8,11.1,81.0,0.4,58.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 06:45:00+00:00,163.0,273.0,40.8,46.5,58.0,11.8,2.3,1.4,14.7,2.0,4.3,11.1,81.0,0.8,52.0,0.0,5.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 07:00:00+00:00,163.0,273.0,55.7,46.6,70.1,14.4,1.3,1.4,14.6,1.9,3.7,11.0,81.0,0.3,43.0,0.0,7.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 07:15:00+00:00,163.0,273.0,19.0,33.5,33.3,15.9,1.7000000000000002,1.27,16.0,1.9,3.3,11.0,80.0,0.3,31.0,0.0,12.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 07:30:00+00:00,163.0,273.0,98.8,52.1,108.1,6.6,2.1,1.42,15.4,1.9,3.3,11.0,80.0,0.5,28.0,0.0,36.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 07:45:00+00:00,161.0,294.0,30.6,38.5,45.4,17.8,2.2,1.4,15.5,2.0,4.3,11.0,80.0,0.4,24.0,0.0,45.0,742.0
site_301,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2024-01-01 08:00:00+00:00,161.0,294.0,82.0,53.8,95.3,12.5,5.4,1.64,14.5,2.0,4.9,11.0,80.0,0.4,83.0,0.0,77.0,742.0
